('54106', 7.354527911183355)
('54107', 7.354514042963873)
('53469', 7.354509756392446)
('54108', 7.354490557808417)
('53284', 7.3544509464884475)
('53714', 7.354450946488446)
('54109', 7.354445264558287)
('54190', 7.354445264558287)
('53486', 7.354362295792069)
('53478', 7.35434842757259)
('53487', 7.35434842757259)
('53479', 7.35430313432246)
('54806', 7.3542406430204394)
('54196', 7.354240643020439)
('54807', 7.35422677480096)
('54197', 7.354226774800959)
('54189', 7.354203289645503)
('54198', 7.354203289645503)
('53294', 7.354014286839214)
('53704', 7.354014286839214)
('53496', 7.353925636142836)
('53497', 7.353911767923356)
('53489', 7.3538882827679)
('53498', 7.3538882827679)
('53647', 7.353859784573471)
('53648', 7.353836299418015)
('53649', 7.353791006167885)
('53674', 7.353723904823083)
('53684', 7.35350766581712)
('56201', 7.353433426633346)
('56210', 7.353433426633346)
('54063', 7.353376169361808)
('54036', 7.353376169361807)
('54037', 7.353362301142329)
('54062', 7.353362301142329)
('54061', 7.353338815986874)
('54038', 7.353338815986873)
('54039', 7.353293522736743)
('54026', 7.353259228909833)
('54073', 7.353259228909833)
('54923', 7.353259228909833)
('54932', 7.35325922890983)
('54027', 7.353245360690354)
('54072', 7.353245360690353)
('54931', 7.353235743754374)
('54071', 7.3532218755349)
('54028', 7.353221875534898)
('54930', 7.353190450504248)
('54029', 7.353176582284768)
('53746', 7.353162496257384)
('53764', 7.353129688739491)
('53694', 7.353071006167887)
('54016', 7.353042989903874)
('54913', 7.353042989903871)
('54083', 7.353042989903869)
('54017', 7.353029121684394)
('54912', 7.353029121684392)
('54082', 7.35302912168439)
('54921', 7.353029121684389)
('54018', 7.3530056365289385)
('54081', 7.3530056365289385)
('54920', 7.352983828434263)
('54019', 7.352960343278808)
('53146', 7.352628174256512)
('53147', 7.352614306037031)
('54093', 7.352606330254636)
('54903', 7.352606330254636)
('53164', 7.352595366738617)
('54902', 7.352592462035158)
('54092', 7.352592462035156)
('53148', 7.352590820881575)
('53842', 7.352581498519137)
('54091', 7.352568976879705)
('54901', 7.352568976879703)
